Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
567,Gaëlle Thalmann,GK,ch Switzerland,37,1986,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
568,Trần Thị Kim Thanh,GK,vn Vietnam,29,1993,2.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
569,Trần Thị Thu Thảo,DF,vn Vietnam,30,1993,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
570,Kerly Théus,GK,ht Haiti,24,1999,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
571,Khổng Thị Hằng,GK,vn Vietnam,29,1993,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
572,Chương Thị Kiều,DF,vn Vietnam,27,1995,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
573,Hoàng Thị Loan,DF,vn Vietnam,28,1995,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
574,Thái Thị Thảo,MF,vn Vietnam,28,1995,2,0,1,0,0,0.5,0,0,,31.9,0,0,0,0,0,0.02,0,0
575,Trần Thị Thu,DF,vn Vietnam,31,1991,3,0,1,0,0,0.33,0,0,,26.1,0,0,0,0,0,0.02,0,0
576,Dương Thị Vân,MF,vn Vietnam,28,1994,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
577,Alyssa Thompson,FW,us USA,18,2004,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
578,Janni Thomsen,"DF,FW",dk Denmark,23,2000,3.9,0,2,0,0,0.51,0,0,,20.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
579,Lương Thị Thu Thương,DF,vn Vietnam,23,2000,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
580,Nguyễn Thị Bích Thùy,MF,vn Vietnam,29,1994,2,0,4,2,50,1.98,0.99,0,0,19.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4
581,Frederikke Thøgersen,FW,dk Denmark,27,1995,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
582,Sandie Toletti,MF,fr France,27,1995,3.4,0,4,1,25,1.18,0.29,0,0,23.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
583,Ella Toone,MF,en England,23,1999,4.9,1,4,2,50,0.82,0.41,0.25,0.5,19.9,0,0,0,0.2,0.2,0.05,0.8,0.8
584,Aïssatou Tounkara,DF,fr France,28,1995,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
585,Sanne Troelsgaard Nielsen,MF,dk Denmark,34,1988,0.3,1,1,1,100,3.91,3.91,1,1,14.3,0,0,0,0.1,0.1,0.09,0.9,0.9
586,Christy Ucheibe,MF,ng Nigeria,22,2000,4.3,0,6,0,0,1.38,0,0,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
587,Riko Ueki,FW,jp Japan,23,1999,2,2,10,5,50,4.95,2.47,0.1,0.2,14.1,0,1,2,3.4,1.9,0.19,-1.4,-0.9
588,Catalina Usme,"FW,MF",co Colombia,33,1989,5,2,7,2,28.6,1.4,0.4,0.14,0.5,28.5,2,1,1,1.3,0.5,0.08,0.7,0.5
589,Emilie Valenciano,MF,cr Costa Rica,26,1997,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
590,Kiki Van Zanten,MF,jm Jamaica,21,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
591,Manuela Vanegas,DF,co Colombia,22,2000,4,1,5,1,20,1.25,0.25,0.2,1,19.9,0,0,0,0.2,0.2,0.04,0.8,0.8
592,Amalie Vangsgaard,FW,dk Denmark,26,1996,2.2,1,5,2,40,2.28,0.91,0.2,0.5,13,0,0,0,0.6,0.6,0.12,0.4,0.4
593,Rosario Vargas,DF,pa Panama,20,2002,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
594,Katrine Veje,DF,dk Denmark,31,1991,4,0,1,1,100,0.25,0.25,0,0,25.1,0,0,0,0,0,0.02,0,0
595,Evelyne Viens,FW,ca Canada,26,1997,1.1,0,3,2,66.7,2.73,1.82,0,0,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
596,Fabiola Villalobos,DF,cr Costa Rica,25,1998,3,0,4,1,25,1.33,0.33,0,0,11.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
597,Gloriana Villalobos,"MF,FW",cr Costa Rica,23,1999,2.1,0,2,1,50,0.96,0.48,0,0,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
598,Cortnee Vine,"MF,DF",au Australia,25,1998,2.8,0,4,3,75,1.45,1.08,0,0,12,0,0,0,0.3,0.3,0.08,-0.3,-0.3
599,Ana Vitória,MF,br Brazil,23,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
600,Keira Walsh,MF,en England,26,1997,5.7,0,2,0,0,0.35,0,0,,30.1,0,0,0,0,0,0.02,0,0
601,Lia Wälti,MF,ch Switzerland,30,1993,3.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
602,Solai Washington,"MF,FW",jm Jamaica,17,2005,0.4,0,1,0,0,2.43,0,0,,15.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1
603,Yao Wei,"DF,MF",cn China PR,25,1997,3,0,1,0,0,0.33,0,0,,26.9,0,0,0,0,0,0.02,0,0
604,Hannah Wilkinson,FW,nz New Zealand,31,1992,2.8,1,8,2,25,2.81,0.7,0.13,0.5,11.3,0,0,0,1.6,1.6,0.2,-0.6,-0.6
605,Lynn Williams,FW,us USA,30,1993,1.5,0,9,6,66.7,5.87,3.91,0,0,10.4,0,0,0,1.1,1.1,0.14,-1.1,-1.1
606,Lynn Wilms,"DF,FW",nl Netherlands,22,2000,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
607,Mary Wilombe,MF,zm Zambia,25,1997,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
608,Tiernny Wiltshire,DF,jm Jamaica,25,1998,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
609,Zhang Xin,"FW,MF",cn China PR,31,1992,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
610,Tameka Yallop,MF,au Australia,31,1991,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
611,Ayaka Yamashita,GK,jp Japan,27,1995,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
612,Gu Yasha,"MF,FW",cn China PR,32,1990,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
613,Yoon Young-geul,GK,kr Korea Republic,35,1987,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
614,Lee Young-ju,MF,kr Korea Republic,31,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
615,Zhu Yu,GK,cn China PR,25,1997,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
616,Choe Yu-ri,"MF,FW",kr Korea Republic,28,1994,2.4,0,3,1,33.3,1.27,0.42,0,0,19,0,0,0,0.1,0.1,0.04,-0.1,-0.1
617,Shelina Zadorsky,DF,ca Canada,30,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
618,Katie Zelem,MF,en England,27,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
619,Claudia Zornoza,MF,es Spain,32,1990,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
