Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
426,María Paula Elizondo,"DF,MF",cr Costa Rica,24,1998,1.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
427,Heather Payne,"MF,DF",ie Rep. of Ireland,23,2000,1.9,0,1,0,0,0.52,0,0,,15.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1
428,Toni Payne,MF,ng Nigeria,28,1995,4.2,0,3,0,0,0.71,0,0,,21.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
429,Victoria Pelova,"FW,MF",nl Netherlands,24,1999,4.8,0,1,0,0,0.21,0,0,,16.1,0,0,0,0,0,0.03,0,0
430,Ria Percival,MF,nz New Zealand,33,1989,2.7,0,3,1,33.3,1.11,0.37,0,0,30.2,0,0,1,0.9,0.1,0.03,-0.9,-0.1
431,Inês Pereira,GK,pt Portugal,24,1999,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
432,Catalina Pérez,GK,co Colombia,28,1994,4.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
433,María Pérez,MF,es Spain,21,2001,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
434,Ève Périsset,DF,fr France,28,1994,2.9,0,2,0,0,0.69,0,0,,20,0,0,0,0.1,0.1,0.04,-0.1,-0.1
435,Betina Petit-Frère,DF,ht Haiti,19,2003,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
436,Pauline Peyraud-Magnin,GK,fr France,31,1992,5.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
437,Casey Phair,"FW,DF",kr Korea Republic,15,2007,1.2,0,2,1,50,1.71,0.86,0,0,12.7,0,0,0,0.4,0.4,0.21,-0.4,-0.4
438,Vast Phiri,DF,zm Zambia,27,1996,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
439,Dayana Pierre-Louis,MF,ht Haiti,19,2003,2.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
440,Alexandra Pinell,MF,cr Costa Rica,20,2002,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
441,Fátima Pinto,MF,pt Portugal,27,1996,1,0,1,0,0,1,0,0,,25.7,0,0,0,0,0,0.04,0,0
442,Tatiana Pinto,MF,pt Portugal,29,1994,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
443,Yomira Pinzón,DF,pa Panama,26,1996,3,1,0,0,,0,0,,,,0,1,1,0.8,0,,0.2,0
444,Seraina Piubel,"MF,FW",ch Switzerland,23,2000,3.7,1,5,3,60,1.35,0.81,0.2,0.33,13.5,0,0,0,0.8,0.8,0.17,0.2,0.2
445,Ashleigh Plumptre,DF,ng Nigeria,25,1998,4.2,0,5,1,20,1.2,0.24,0,0,13.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
446,Clare Polkinghorne,DF,au Australia,34,1989,2,0,3,1,33.3,1.53,0.51,0,0,8,0,0,0,0.5,0.5,0.17,-0.5,-0.5
447,Alexandra Popp,"FW,MF",de Germany,32,1991,2.9,4,14,7,50,4.81,2.4,0.21,0.43,14.1,1,1,1,3.3,2.6,0.18,0.7,0.4
448,Atlanta Primus,"MF,FW",jm Jamaica,26,1997,3.2,0,6,0,0,1.86,0,0,,17.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
449,Nichelle Prince,FW,ca Canada,28,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
450,Alexia Putellas,MF,es Spain,29,1994,2.4,0,5,1,20,2.12,0.42,0,0,15.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
451,Chen Qiaozhu,DF,cn China PR,23,1999,3,0,2,1,50,0.67,0.33,0,0,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
452,Quinley Quezada,MF,ph Philippines,26,1997,2.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
453,Quinn,MF,ca Canada,27,1995,2.9,0,2,0,0,0.7,0,0,,14.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
454,Louise Quinn,DF,ie Rep. of Ireland,32,1990,3,0,2,0,0,0.67,0,0,,11,0,0,0,0.2,0.2,0.12,-0.2,-0.2
455,Lucy Quinn,FW,ie Rep. of Ireland,29,1993,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
456,Aldrith Quintero,MF,pa Panama,21,2002,2.2,0,1,0,0,0.45,0,0,,25.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1
457,Rafaelle,DF,br Brazil,31,1991,3,0,1,0,0,0.33,0,0,,10.8,0,0,0,0,0,0.02,0,0
458,Lebohang Ramalepe,DF,za South Africa,31,1991,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
459,Mayra Ramírez,FW,co Colombia,24,1999,5,0,12,2,16.7,2.4,0.4,0,0,16.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7
460,Mónica Ramos,DF,co Colombia,24,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
461,Dominique Randle,"DF,MF",ph Philippines,28,1994,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
462,Megan Rapinoe,FW,us USA,37,1985,0.9,0,4,0,0,4.5,0,0,,19.3,1,0,0,0.9,0.9,0.23,-0.9,-0.9
463,Hayley Raso,MF,au Australia,28,1994,6.2,3,10,6,60,1.61,0.96,0.3,0.5,12.5,0,0,0,1.5,1.5,0.15,1.5,1.5
464,Felicitas Rauch,DF,de Germany,27,1996,1,0,1,0,0,1.02,0,0,,21.7,0,0,0,0,0,0.04,0,0
465,Sílvia Rebelo,DF,pt Portugal,34,1989,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
466,Alba Redondo,FW,es Spain,26,1996,4.4,3,17,8,47.1,3.89,1.83,0.18,0.38,9.9,0,0,0,4.5,4.5,0.28,-1.5,-1.5
467,Zineb Redouani,DF,ma Morocco,23,2000,4,0,1,1,100,0.25,0.25,0,0,23.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1
468,Guro Reiten,MF,no Norway,28,1994,4,2,8,3,37.5,2,0.75,0.13,0.33,15.9,0,1,1,1.9,1.1,0.14,0.1,-0.1
469,Wendie Renard,DF,fr France,32,1990,4.3,1,4,1,25,0.92,0.23,0.25,1,8.2,0,0,0,0.9,0.9,0.21,0.1,0.1
470,Gabi Rennie,FW,nz New Zealand,21,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
471,Marcela Restrepo,"MF,FW",co Colombia,24,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
472,Géraldine Reuteler,MF,ch Switzerland,24,1999,3.1,0,3,2,66.7,0.96,0.64,0,0,24.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3
473,Marion Rey,MF,ch Switzerland,24,1999,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
474,Nadine Riesen,DF,ch Switzerland,23,2000,2.9,0,1,0,0,0.34,0,0,,26.5,0,0,0,0,0,0.02,0,0
475,Ali Riley,DF,nz New Zealand,35,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
476,Indiah-Paige Riley,"MF,FW",nz New Zealand,21,2001,2,0,3,1,33.3,1.5,0.5,0,0,13.1,0,0,0,0.4,0.2,0.08,-0.4,-0.2
477,Karla Riley,FW,pa Panama,25,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
478,Jayde Riviere,DF,ca Canada,22,2001,2.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
479,Trinity Rodman,FW,us USA,21,2002,2.6,0,7,3,42.9,2.67,1.14,0,0,21.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
480,Misa Rodríguez,GK,es Spain,23,1999,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
481,Raquel Rodríguez,MF,cr Costa Rica,29,1993,1.3,0,1,0,0,0.77,0,0,,12.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
482,Yamila Rodríguez,"FW,MF",ar Argentina,25,1998,0.6,0,1,0,0,1.55,0,0,,25.8,0,0,0,0,0,0.03,0,0
483,Fridolina Rolfö,"FW,MF",se Sweden,29,1993,5.5,3,10,3,30,1.8,0.54,0.2,0.67,15.4,0,1,1,2.5,1.7,0.17,0.5,0.3
484,Sophie Román Haug,FW,no Norway,24,1999,2.8,3,13,6,46.2,4.64,2.14,0.23,0.5,9.8,0,0,0,2.4,2.4,0.18,0.6,0.6
485,Jill Roord,MF,nl Netherlands,26,1997,4.6,4,18,7,38.9,3.88,1.51,0.22,0.57,14.1,0,0,0,3.6,3.6,0.2,0.4,0.4
486,Deanne Rose,FW,ca Canada,24,1999,1,0,1,1,100,1,1,0,0,13,0,0,0,0.1,0.1,0.07,-0.1,-0.1
487,Elin Rubensson,MF,se Sweden,30,1993,6.4,1,6,1,16.7,0.93,0.16,0,0,24.5,0,1,1,1,0.2,0.04,0,-0.2
488,Zhang Rui,MF,cn China PR,34,1989,1.3,0,2,0,0,1.53,0,0,,29.8,1,0,0,0.1,0.1,0.03,-0.1,-0.1
489,Alessia Russo,FW,en England,24,1999,5.8,3,22,12,54.5,3.8,2.07,0.14,0.25,13.1,0,0,0,2.2,2.2,0.1,0.8,0.8
490,Ana Rute,MF,pt Portugal,25,1998,0,0,1,0,0,90,0,0,,17.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
491,Johanna Rytting Kaneryd,"FW,DF",se Sweden,26,1997,5.6,0,2,1,50,0.36,0.18,0,0,14.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
492,Adriana Sachs,DF,ar Argentina,29,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
493,Eunice Sakala,GK,zm Zambia,21,2002,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
494,María Paula Salas,FW,cr Costa Rica,20,2002,1.8,0,1,0,0,0.54,0,0,,21.3,0,0,0,0,0,0.02,0,0
495,Deysiré Salazar,MF,pa Panama,19,2004,1.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
496,Gabriela Salgado,MF,za South Africa,25,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
497,Cecilia Salvai,DF,it Italy,29,1993,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
